stride_start_time,stride_end_time,stride_duration,cadence_spm_equiv,L_knee_peak_flex,L_knee_peak_ext,L_knee_ROM,R_knee_peak_flex,R_knee_peak_ext,R_knee_ROM,L_hip_ROM,R_hip_ROM,pelvis_vert_range,pelvis_vert_std,knee_ROM_sym
0.6666666666666666,1.4,0.7333333333333333,163.63636363636365,146.8234414227509,144.00351742235878,2.8199240003921204,132.26302143996546,128.9431118740019,3.3199095659635702,7.534946940682261,4.390533038653359,0.007907133579763637,0.0026114088107093716,0.8493978358032972
1.4,2.066666666666667,0.666666666666667,179.99999999999991,147.30797696819374,138.8715376674343,8.436439300759446,131.8059925776034,123.96854190537746,7.837450672225941,3.66670594274882,1.9998308242965948,0.010742060463550904,0.0033671878926084865,1.076426462326095
2.066666666666667,2.533333333333333,0.46666666666666634,257.14285714285734,144.61379114859594,138.8715376674343,5.74225348116164,130.3047080733187,127.82029539570198,2.4844126776167172,4.724006562986119,2.039991000791048,0.008760048290868863,0.0027837403470288456,2.311312260195899
2.533333333333333,3.2666666666666666,0.7333333333333334,163.63636363636363,140.92752074020163,137.84091555305474,3.086605187146887,128.304094469894,117.18667877256534,11.117415697328667,7.66579500899411,7.134348557029654,0.007924825031787652,0.0024686013150426677,0.27763693210541257
3.2666666666666666,3.933333333333333,0.6666666666666665,180.00000000000003,143.2720957977905,141.17329928813075,2.0987965096597634,132.89899793658623,121.31692223459333,11.582075701992892,6.449886898197832,4.309892212504906,0.006417596920472363,0.001849723003902623,0.18121074008337124
3.933333333333333,4.466666666666667,0.5333333333333337,224.99999999999986,138.0023856969217,132.422914690293,5.579471006628694,134.89548774325579,133.31675127463032,1.5787364686254648,8.44517387172823,1.2872188689781012,0.008811619013730856,0.0031016862655852627,3.5341370250897475
4.466666666666667,5.133333333333334,0.666666666666667,179.99999999999991,138.14080099705112,131.29174055587382,6.849060441177301,137.82489606928831,126.16611234037735,11.658783728910961,4.7121429399443855,4.564257736976344,0.006151851346809303,0.001965209228858078,0.5874592582237621
5.133333333333334,5.8,0.6666666666666661,180.00000000000017,136.77200847197273,129.15008278596474,7.621925686007984,137.85958230463916,135.49161354952938,2.3679687551097857,7.101845782289956,0.7445699655176554,0.011559974635364609,0.0033856150116095816,3.2187610877722963
5.8,6.4,0.6000000000000005,199.99999999999983,139.24895925832843,136.77200847197273,2.476950786355701,137.5966594801214,135.2349684772028,2.361691002918576,2.900588319437105,4.068339677635578,0.008378890591468055,0.0024872444178638746,1.048803921975689
6.4,7.133333333333334,0.7333333333333334,163.63636363636363,149.39386381490414,141.8696625937122,7.52420122119193,135.2349684772028,123.59122290209281,11.643745575110003,8.765864391072142,4.065250251002652,0.018698225820763845,0.005624397093233956,0.6462011019268468
7.133333333333334,7.666666666666667,0.5333333333333332,225.00000000000006,149.29645513669016,145.41340760912806,3.8830475275620984,133.7904185965816,126.86785598602692,6.922562610554664,1.5535582171970646,7.878506645598122,0.008289135202823691,0.0028034985165670974,0.5609263138540213
7.666666666666667,8.333333333333334,0.666666666666667,179.99999999999991,154.2222059217906,149.29645513669016,4.925750785100433,131.3945932752738,124.18688048653036,7.207712788743436,3.2259980102203656,6.9668914144456835,0.012947363935308792,0.003927169742142231,0.6833999813079635
8.333333333333334,9.066666666666666,0.7333333333333325,163.63636363636382,155.5420843345635,153.61877074363233,1.9233135909311727,129.78775731227628,120.91633180157541,8.871425510700874,7.607823818087638,6.2097316030607885,0.011104017526257698,0.002934458121106148,0.2167987082359241
9.066666666666666,9.8,0.7333333333333343,163.63636363636343,155.62731657265525,150.70293515223977,4.924381420415472,130.52505613397005,126.1594930061149,4.365563127855154,3.4855555891657275,4.405814036895009,0.017948875457386965,0.005083109155126984,1.1280060043101177
9.8,10.466666666666669,0.6666666666666679,179.9999999999997,148.0222798639844,142.4584398421141,5.5638400218703055,134.88188703953233,130.678364993927,4.203522045605325,5.622787155530176,2.4188615170839114,0.008783977350049349,0.0026031539559509117,1.3236138555969172
10.466666666666669,11.066666666666666,0.5999999999999979,200.0000000000007,145.01018469909462,140.0694138889326,4.940770810162036,133.91699558319064,126.4541587960335,7.462836787157144,1.6841966415093736,3.16331844302465,0.008782799991319257,0.0030249233493479296,0.6620499618408711
11.066666666666666,11.666666666666666,0.5999999999999996,200.0000000000001,149.0603534038562,140.0694138889326,8.99093951492361,133.13094858023305,131.33177752695752,1.7991710532755292,3.56118480002732,4.763047440046989,0.01133417311304169,0.0033417187135207516,4.997267768706546
11.666666666666666,12.4,0.7333333333333343,163.63636363636343,146.9999995707885,141.59035931525773,5.409640255530775,133.13094858023305,118.19769264613812,14.93325593409493,5.082115800557915,2.428465938803555,0.007604541493125602,0.002657101385097969,0.36225457324278026
12.4,13.133333333333333,0.7333333333333325,163.63636363636382,144.77984841140477,140.16930439690242,4.610544014502352,130.09794101056792,121.9407786350336,8.157162375534327,5.841152264255214,4.919168619815764,0.008435954096555703,0.0024005721737761273,0.5652142009984622
13.133333333333333,13.6,0.4666666666666668,257.14285714285705,148.2637253272084,141.21911337157258,7.0446119556358155,134.8685146680318,131.63362713658825,3.2348875314435475,1.4973516106141176,8.257646849946184,0.006990626393772292,0.002608068252514861,2.177699189588889
13.6,14.6,1.0,120.0,155.61270064557786,148.54371075839393,7.068989887183932,136.08352932853145,131.36322907160772,4.720300256923736,4.1103348805197015,24.64724040816543,0.009845233381674895,0.003334044723809849,1.4975720827960337
